Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.24     0.00  2000020     0.00     0.00  std::vector<int, std::allocator<int> >::_S_do_relocate(int*, int*, int*, std::allocator<int>&, std::integral_constant<bool, true>)
  0.00      0.24     0.00  2000020     0.00     0.00  int* std::__relocate_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00      0.24     0.00  2000020     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<int, void>::value, int*>::type std::__relocate_a_1<int, int>(int*, int*, int*, std::allocator<int>&)
  0.00      0.24     0.00  2000010     0.00     0.00  std::_Bit_reference::operator bool() const
  0.00      0.24     0.00  2000000     0.00     0.00  std::_Bit_reference::operator=(bool)
  0.00      0.24     0.00  2000000     0.00     0.00  void std::_Destroy<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*)
  0.00      0.24     0.00  1007824     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.24     0.00  1007824     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.24     0.00  1007824     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      0.24     0.00  1007824     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      0.24     0.00  1000022     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.24     0.00  1000015     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  0.00      0.24     0.00  1000015     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      0.24     0.00  1000010     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.24     0.00  1000010     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const
  0.00      0.24     0.00  1000010     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      0.24     0.00  1000010     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      0.24     0.00  1000002     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_Deque_iterator(std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.24     0.00  1000001     0.00     0.00  std::deque<int, std::allocator<int> >::empty() const
  0.00      0.24     0.00  1000001     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.24     0.00  1000001     0.00     0.00  std::deque<int, std::allocator<int> >::begin()
  0.00      0.24     0.00  1000001     0.00     0.00  std::operator==(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.24     0.00  1000000     0.00     0.00  DFSUtil(int, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, std::vector<bool, std::allocator<bool> >&, std::vector<int, std::allocator<int> >&)
  0.00      0.24     0.00  1000000     0.00     0.00  void __gnu_cxx::new_allocator<int>::destroy<int>(int*)
  0.00      0.24     0.00  1000000     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator*() const
  0.00      0.24     0.00  1000000     0.00     0.00  void std::allocator_traits<std::allocator<int> >::destroy<int>(std::allocator<int>&, int*)
  0.00      0.24     0.00  1000000     0.00     0.00  std::deque<int, std::allocator<int> >::push_front(int const&)
  0.00      0.24     0.00  1000000     0.00     0.00  std::deque<int, std::allocator<int> >::front()
  0.00      0.24     0.00  1000000     0.00     0.00  std::deque<int, std::allocator<int> >::pop_front()
  0.00      0.24     0.00   999995     0.00     0.00  fillOrder(int, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, std::vector<bool, std::allocator<bool> >&, std::deque<int, std::allocator<int> >&)
  0.00      0.24     0.00    39093     0.00     0.00  std::__deque_buf_size(unsigned long)
  0.00      0.24     0.00    23463     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_S_buffer_size()
  0.00      0.24     0.00    15650     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_M_set_node(int**)
  0.00      0.24     0.00     7837     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.24     0.00     7814     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_allocate_node()
